batch_idx	src_id	src_title	src_url	src_published_at	dossier_nummer	rapport_titel	datum	vergaderjaar	vraag_nr	vraag	antwoord	antwoord_zie_nr	verwijzingen	llm_label	llm_confidence	llm_reasoning	defl_types	defl_notes
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	4	De Algemene Rekenkamer geeft aan dat Friesland en Groningen in 2009 en 2010 een hogere prijs financieerden dan de normprijs. Kan toegelicht worden waarom Friesland en Groningen in deze twee jaren een hogere prijs financierden?	Wij kennen de overwegingen van de provincies Friesland en Groningen om hun BJZ een hogere prijs per maatregel te vergoeden dan de normprijs niet. De achtergrond van de hogere vergoeding maakte geen deel uit van het onderzoek.			DEFL	H	De AR geeft expliciet aan dat zij de overwegingen niet kent en dat dit onderwerp geen deel uitmaakte van het onderzoek. Er wordt geen inhoudelijk antwoord gegeven op de vraag.	SCOPE	
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	8	Is er zicht op hoeveel medewerkers in 2009, 2010 en 2011 ontslagen zijn of zijn afgevloeid als gevolg van de tekorten bij de BJZ/LWI? Zo ja, hoeveel waren dit?	Nee, dit onderwerp maakte geen deel uit van ons onderzoek.			DEFL	H	De AR geeft expliciet aan dat dit onderwerp geen deel uitmaakte van het onderzoek en beantwoordt de vraag niet inhoudelijk. Dit is een klassiek DEFL-antwoord.	SCOPE	
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	9	Wat zijn de gevolgen geweest van te weinig personele inzet bij de BJZ/LWI?	Om dreigende tekorten af te wenden hebben de BJZ/LWI minder personeel ingezet. Wij hebben geen onderzoek gedaan naar de gevolgen van minder personeelsinzet voor bijvoorbeeld de kwaliteit.			DEFL	M	De AR geeft een korte feitelijke constatering (minder personeel ingezet), maar beantwoordt de eigenlijke vraag naar de gevolgen niet: ze geeft expliciet aan dit niet onderzocht te hebben. Omdat er geen substantieel antwoord op de gestelde vraag wordt gegeven, is DEFL het primaire label.	SCOPE	
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	13	In 2009 en 2010 is bij de BJZ/LWI minder ander cliëntgebonden personeel in dienst geweest dan afgesproken en dan nodig werd geacht. Heeft dit ook geleid tot een gebrek aan benodigde zorgverlening door deze instanties? Zo ja, waar blijkt dat uit? Zo nee, pleit dit voor een herijking van de gemaakte uitvoeringsafspraken?	Wij hebben geen onderzoek gedaan naar de gevolgen van minder personeelsinzet voor bijvoorbeeld de kwaliteit. Om die reden kunnen wij geen uitspraak over de eventuele gevolgen doen. Zie ook het antwoord op vraag 9.			DEFL	H	De AR geeft expliciet aan dat zij dit niet heeft onderzocht en daarom geen uitspraak kan doen, en verwijst naar een ander antwoord. Er wordt geen inhoudelijk antwoord op de vraag gegeven.	SCOPE	
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	16	Hoe kunnen de grote verschillen in het financiële resultaat per instelling (2009) uit figuur 1 worden verklaard?	De achtergrond van de verschillen in de financiële resultaten van de BJZ/LWI hebben we niet onderzocht.			DEFL	H	De AR geeft expliciet aan dat zij de achtergrond van de verschillen niet heeft onderzocht en biedt geen substantieel inhoudelijk antwoord op de vraag.	SCOPE	
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	17	Hoe kunnen de verschillen tussen 2009 en 2010 van de financiële resultaten uit de figuren 1 en 2 worden verklaard?	De achtergrond van de verschillen in de financiële resultaten van de BJZ/LWI hebben we niet onderzocht.			DEFL	H	De AR geeft expliciet aan dat ze de achtergrond van de verschillen niet heeft onderzocht, waardoor er geen inhoudelijk antwoord wordt gegeven. Dit is een klassiek DEFL-signaal.	SCOPE	
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	23	Wat bedoelt het IPO precies als het stelt dat de omvang van de tekorten wordt bepaald door het werken met een sluitende begroting?	Wij verwijzen hiervoor naar de Staatssecretaris van VenJ.			DEFL	H	De AR geeft geen inhoudelijk antwoord op de vraag en verwijst volledig naar de Staatssecretaris van VenJ. Dit is een klassiek geval van deflectie.	MIN_POL	
1	rekenkamer__kamerstuk:2012:03:13:beantwoording-kamervragen-over-het-rapport-vastgoed-van-het-rijk-volume-en-waarde	Beantwoording Kamervragen over het rapport Vastgoed van het Rijk: volume en waarde	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/03/13/beantwoording-kamervragen-over-het-rapport-vastgoed-van-het-rijk-volume-en-waarde/Beantwoording+TK+vragen+Vastgoed+van+het+Rijk.pdf	2012-03-13	33 123, nr. 1	Vastgoed van het Rijk: volume en waarde	13 maart 2012	2011-2012	4	Ziet de Algemene Rekenkamer mogelijkheden om naar aanleiding van de bezuinigingen bij het ministerie van Defensie en de daarbij behorende beleidsbrief van 8 april 2011, een vervolg te geven aan dit onderzoek over het vastgoed van het Rijk?	Wij beraden ons momenteel op nieuwe onderzoeken op het terrein van vastgoed en zullen de suggestie van de Tweede Kamer in onze overwegingen meenemen.			DEFL	H	De AR geeft geen inhoudelijk antwoord op de vraag maar verwijst naar toekomstige overwegingen en een mogelijk toekomstig onderzoek. Er is geen substantiële inhoud; dit is een typisch DEFL-patroon ('wij zullen dit in de komende periode verkennen').	FUTURE	
4	rekenkamer__kamerstuk:2012:06:11:beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-defensie	Beantwoording Kamervragen over het Rapport bij het Jaarverslag 2011 van het Ministerie van Defensie	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/06/11/beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-defensie/Antwoorden+op+Kamervragen.pdf	2012-06-11	33 240 X	Rapport bij het Jaarverslag 2011 van het Ministerie van Defensie	11 juni 2012	2011-2012	11	Wat zijn volgens u de gevolgen voor de defensieorganisatie van het feit dat er onvolkomenheden zijn geconstateerd bij de MIVD?	Wij hebben de gevolgen van de achterstanden bij de MIVD voor de Defensieorganisatie niet onderzocht. Tijdens ons onderzoek hebben de onderzochte onderdelen van het ministerie ons gemeld dat medewerkers in het uiterste geval hun werkzaamheden moeten staken zolang het veiligheidsonderzoek niet is afgerond. Dit is uiteraard ongewenst. Ons is niet bekend hoe vaak dit zich voordoet.			DEFL	M	De AR geeft expliciet aan de gevolgen niet te hebben onderzocht en kan geen uitspraak doen over de omvang. De toevoeging dat medewerkers in het uiterste geval werkzaamheden moeten staken is een beperkte feitelijke observatie, maar de kern van het antwoord is dat de AR de vraag niet substantieel kan beantwoorden. Het woord 'ongewenst' bevat een licht oordeel, wat een alternatief (OOR) plausibel maakt, maar de deflectie domineert.	SCOPE	
5	rekenkamer__kamerstuk:2012:06:11:beantwoording-kamervragen-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-algemene-zaken	Beantwoording Kamervragen over het Rapport bij het Jaarverslag 2011 van het Ministerie van Algemene Zaken	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/06/11/beantwoording-kamervragen-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-algemene-zaken/Antwoorden+op+Kamervragen.pdf	2012-06-11	33 240 III	Rapport bij het Jaarverslag 2011 van het Ministerie van Algemene Zaken (III)	11 juni 2012	2011-2012	1	Heeft de ARK onderzocht of de CTIVD voldoende capaciteit had om haar taken uit te voeren en/of zij voldoende capaciteit had haar taken doelmatig uit te voeren? Indien dit niet onderzocht is, wat was hier de reden van? Indien dit wel onderzocht is, wat waren hiervan de uitkomsten en wat zijn eventuele aanbevelingen?	In het Rapport bij het Jaarverslag 2011 van het Ministerie van Algemene Zaken (III) zijn de uitkomsten opgenomen van ons onderzoek naar de bedrijfsvoering van het ministerie en de financiële informatie in het jaarverslag. Het jaarverslag moet ook beleidsinformatie geven over de realisatie van de beleidsdoelstellingen en de besteding van de gelden aan de doelen waarvoor ze beschikbaar zijn gesteld. De beoordeling van de doelmatigheid is geen aspect van dit verantwoordingsonderzoek. De Algemene Rekenkamer kan wel doelmatigheidsonderzoek doen, maar bij de CTIVD is dat niet aan de orde geweest. Er zijn dan ook geen uitkomsten of aanbevelingen te melden.		33 240 III: Jaarverslag 2011 Ministerie van Algemene Zaken	DEFL	H	De AR geeft aan dat doelmatigheidsonderzoek bij de CTIVD niet is uitgevoerd en dat er geen uitkomsten of aanbevelingen te melden zijn. Het antwoord verklaart waarom het niet onderzocht is (valt buiten scope van het verantwoordingsonderzoek), maar levert geen inhoudelijk antwoord op de gestelde vraag.	MIN_POL	
